id,rent_price,rent_price_by_area,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,district,neighborhood,avg_district_rent,median_district_rent,std_district_rent,overpriced,built_year,has_lift,has_ac,has_pool,has_parking,is_furnished
21622,1108,,176.0,,2,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21621,884,,87.0,,2,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21620,1084,,106.0,81.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21619,1100,,113.0,84.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21618,1131,,115.0,86.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21617,1194,,129.0,98.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21616,1148,,115.0,89.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21615,686,,110.0,,2,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,False,True,,False,
21614,901,,90.0,,3,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,1985.0,True,True,,False,
21613,654,,60.0,,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21612,691,,54.0,,2,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21611,725,,80.0,,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,False,True,,False,
21610,656,,73.0,45.0,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1999.0,True,,,False,
21609,847,,122.0,90.0,3,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,1999.0,True,,,True,
21608,1111,,98.0,86.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2020.0,True,,True,True,
21607,1100,,97.0,83.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2020.0,True,True,True,True,
21606,1194,,111.0,98.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2020.0,True,True,True,True,
21605,1071,,99.0,86.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2020.0,True,True,True,True,
21604,598,,77.0,66.0,3,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1968.0,False,,,False,
21603,698,,85.0,75.0,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1966.0,False,,,False,
21602,994,,90.0,73.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,True,True,True,
21601,1105,,133.0,80.0,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,2003.0,True,True,True,True,
21600,531,,60.0,,3,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1960.0,False,,,False,
21599,1135,,133.0,101.0,3,3,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2004.0,True,,True,False,
21598,642,,85.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1967.0,False,True,,False,
21597,797,,59.0,,2,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21596,796,,59.0,,2,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21595,800,,58.0,,2,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21594,925,,79.0,,3,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21593,796,,60.0,,2,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21592,1094,,121.0,,3,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,2001.0,True,True,True,True,
21591,1187,,126.0,,3,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21590,1250,,134.0,,4,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21589,1094,,111.0,,3,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21588,1164,,122.0,,3,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21587,1174,,125.0,,3,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21586,1066,,102.0,,2,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21585,1131,,104.0,88.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2020.0,True,True,True,True,
21584,561,,66.0,,3,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,,True,,,False,
21583,762,,95.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1965.0,False,,,False,
21582,539,,74.0,69.0,3,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,1968.0,False,,,False,
21581,948,,97.0,,2,1,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2003.0,True,,True,True,
21580,1038,,90.0,85.0,2,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,2004.0,True,True,True,True,
21579,1086,,130.0,,4,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,,True,True,True,False,
21578,466,,49.0,44.0,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1969.0,True,,,False,
21577,1235,,151.0,100.0,3,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,,True,True,True,True,
21576,570,,69.0,,3,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,1961.0,False,,,False,
21575,1262,,170.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2010.0,True,True,True,True,
21574,489,,48.0,39.0,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1971.0,False,,,False,
21573,1161,,98.0,,3,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,2001.0,True,True,True,True,
21572,686,,50.0,,1,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,2008.0,True,True,True,True,
21571,1009,,136.0,92.0,3,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,1999.0,True,,,True,
21570,791,,80.0,,3,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,,True,True,,False,
21569,868,,95.0,90.0,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,1975.0,False,True,,False,
21568,447,,56.0,,3,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,0,1965.0,False,,,False,
21567,466,,43.0,35.0,1,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1971.0,False,,,False,
21566,625,,72.0,,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,True,,,False,
